feature,importance
time_corr_F7_F8,0.07376843985297638
time_corr_FC5_F8,0.04474129653078299
energy_freq_bands_alpha_F4,0.0425781497936438
energy_freq_bands_beta_F3,0.042033296737026646
energy_freq_bands_delta_P8,0.042021377833854665
energy_freq_bands_alpha_CP2,0.03809644933571923
energy_freq_bands_gamma_C4,0.03611244355235969
time_corr_F7_FC6,0.034096974148270266
time_corr_F7_F4,0.03236391931425395
energy_freq_bands_alpha_Oz,0.03182399247411049
energy_freq_bands_delta_P4,0.03007910475076291
energy_freq_bands_beta_C3,0.0288445026531407
energy_freq_bands_delta_CP6,0.026554446158921313
energy_freq_bands_gamma_CP2,0.024697863962186886
line_length_F8,0.023829143578943685
energy_freq_bands_gamma_T8,0.02369021965180231
energy_freq_bands_alpha_CP1,0.023549488276495684
pow_freq_bands_alpha_F4,0.023185867282825963
energy_freq_bands_gamma_F8,0.022709398190454328
energy_freq_bands_gamma_CP6,0.02247379570306176
energy_freq_bands_gamma_Fp2,0.022212256351212423
pow_freq_bands_alpha_CP2,0.021731921928644187
energy_freq_bands_delta_O2,0.021622909917647495
line_length_F7,0.021440569518103043
pow_freq_bands_alpha_Oz,0.02127197028982729
time_corr_FC5_FC6,0.021163648053755327
energy_freq_bands_delta_F7,0.021033193070759796
variance_F8,0.01997640784971836
time_corr_F7_Fp2,0.019856018337398834
spect_corr_CP1_F8,0.0191053645755583
max_cross_corr_FC5_F8,0.019031012171538027
time_corr_F3_F8,0.018529308881918994
time_corr_T7_F8,0.01809000411400102
std_F8,0.01804702225161143
line_length_P4,0.017874720328286933
energy_freq_bands_delta_C4,0.01744657045455496
time_corr_F7_FC5,0.01726949373375479
std_F7,0.017210165170086632
spect_corr_FC1_F8,0.017104933243789693
energy_freq_bands_theta_F7,0.017042926425578947
energy_freq_bands_theta_FC6,0.017015531698297153
pow_freq_bands_beta_C3,0.016870190482493698
energy_freq_bands_delta_FC5,0.016449109688104164
energy_freq_bands_alpha_P3,0.016377422466678265
energy_freq_bands_beta_P4,0.016031298367518557
spect_corr_Cz_F8,0.01594913104211179
energy_freq_bands_theta_FC5,0.015628331598175012
higuchi_fd_Pz,0.015553739200156826
line_length_Pz,0.015475704741169855
spect_corr_FC2_F8,0.015405701713352905
energy_freq_bands_beta_FC5,0.015322972259894634
time_corr_F7_C3,0.015275916646909356
spect_corr_Pz_F8,0.015266200882199281
spect_corr_CP5_F8,0.015199401548192278
higuchi_fd_CP1,0.015161808930953218
phase_lock_val_F7_F8,0.014967552353958658
spect_corr_C4_F8,0.01493078118794875
pow_freq_bands_alpha_CP1,0.014909336694105753
spect_corr_CP6_F8,0.01478895522725723
time_corr_F7_T8,0.014783879755844012
energy_freq_bands_alpha_FC1,0.014768514127693765
spect_corr_CP2_F8,0.014619537351861169
spect_corr_F7_CP2,0.014573585694418077
higuchi_fd_P4,0.014544015516615893
time_corr_FC6_F4,0.014466704851884877
max_cross_corr_F7_FC5,0.014403952422646369
line_length_CP1,0.014169542351581514
energy_freq_bands_alpha_P4,0.014132783705939202
variance_F7,0.014062349999953
kurtosis_F7,0.01403172824033759
std_FC6,0.014025941423536156
energy_freq_bands_beta_FC1,0.013999963496684137
max_cross_corr_F7_FC6,0.01394575488278958
higuchi_fd_Cz,0.013921315144660726
max_cross_corr_F7_F8,0.013915826336104505
energy_freq_bands_theta_FC2,0.013754723578886859
energy_freq_bands_alpha_P7,0.013729449039159762
pow_freq_bands_alpha_Fp2,0.013667801019498884
line_length_Oz,0.01365435633041836
pow_freq_bands_beta_CP5,0.013646306829364711
spect_corr_C3_F8,0.013645353679145895
spect_entropy_O1,0.013618317368986773
spect_entropy_P8,0.013532299247225842
energy_freq_bands_alpha_Fp1,0.013370245524467477
energy_freq_bands_delta_T8,0.013337232205268022
spect_corr_F8_Fp2,0.01330618580072915
energy_freq_bands_gamma_O2,0.013302289773544935
line_length_Cz,0.013254975377627607
energy_freq_bands_alpha_F8,0.013162825418226262
hurst_exp_F8,0.013134057345152803
energy_freq_bands_alpha_Pz,0.013094625563869103
spect_corr_F7_Cz,0.013051713656294883
time_corr_FC5_F4,0.013034153805817577
spect_corr_Fp1_F7,0.012945336915969725
pow_freq_bands_theta_F7,0.012943099763409393
max_cross_corr_FC5_FC6,0.0129398543761365
spect_corr_C4_Fp2,0.01279896042532617
spect_corr_O1_F8,0.012793027473687069
energy_freq_bands_beta_T7,0.012707022236518251
energy_freq_bands_delta_F8,0.012700615944635861
line_length_CP2,0.012694839971380097
