feature,importance
higuchi_fd_Cz,0.004373469474508089
pow_freq_bands_theta_F7,0.003585828692409557
energy_freq_bands_theta_F7,0.003568985483166628
pow_freq_bands_theta_T7,0.0034216155529357205
pow_freq_bands_beta_P4,0.0032216339547400975
energy_freq_bands_theta_FC5,0.0030976321491685594
energy_freq_bands_theta_FC6,0.0027649060958764237
pow_freq_bands_theta_F3,0.0025806592186240675
energy_freq_bands_delta_Cz,0.002403083010047124
pow_freq_bands_theta_Fz,0.002302252759993925
time_corr_Cz_CP2,0.00219202815518095
energy_freq_bands_beta_P4,0.0021561193430458397
spect_corr_C4_FC6,0.001922133197344441
energy_freq_bands_beta_FC2,0.00191297187315069
spect_corr_O2_C4,0.001870346218620166
time_corr_Oz_T8,0.0018344407544661177
energy_freq_bands_beta_FC6,0.001772314175081008
line_length_CP1,0.0017554204323891873
pow_freq_bands_beta_T8,0.001737920603926971
skewness_P4,0.0016485424600094114
pow_freq_bands_beta_C3,0.001615881215723707
energy_freq_bands_theta_FC2,0.0015833221475244567
max_cross_corr_P8_T8,0.0015571990356376168
time_corr_O2_T8,0.0015557609160270118
pow_freq_bands_gamma_O1,0.001530006843610906
pow_freq_bands_beta_O2,0.0015138599713902827
phase_lock_val_Oz_P4,0.0014955569271430664
energy_freq_bands_theta_T7,0.0014913884179059823
rms_T8,0.0014279085497865456
time_corr_P8_T8,0.0014133133101543642
hjorth_mobility_O2,0.001409486378408744
std_T8,0.0013980135822184274
pow_freq_bands_beta_FC6,0.0013784359831834924
higuchi_fd_CP2,0.0013677060786643476
energy_freq_bands_beta_C3,0.0013653218441063604
higuchi_fd_FC2,0.0013420287041404355
spect_corr_FC1_F8,0.0013385180523727302
variance_T8,0.0013219129839932104
pow_freq_bands_gamma_Pz,0.0012985184791690929
pow_freq_bands_theta_FC6,0.0012519587774644687
spect_entropy_F4,0.0012499606206825128
pow_freq_bands_theta_Cz,0.0012438258477274027
pow_freq_bands_beta_Fz,0.0012348630104265757
std_C3,0.0012067314165914737
mean_Fz,0.0011990584047311427
pow_freq_bands_theta_FC5,0.0011982988383824802
higuchi_fd_FC1,0.0011796486405177265
spect_corr_T8_Fp2,0.001174873743881541
time_corr_CP1_P8,0.0011477720824131148
energy_freq_bands_alpha_Fp1,0.0011371753283392447
pow_freq_bands_alpha_F4,0.0011138283740394065
energy_freq_bands_theta_Cz,0.0011057102436689448
max_cross_corr_Cz_Fp2,0.0010910140912929822
spect_corr_T7_CP1,0.0010812480471464035
max_cross_corr_Oz_FC6,0.0010784583177204958
time_corr_F7_FC5,0.0010743234536332792
max_cross_corr_O1_FC6,0.0010681220466550825
max_cross_corr_Oz_P4,0.0010678502113431092
energy_freq_bands_delta_T8,0.0010674324332514036
time_corr_P7_FC6,0.0010505706382665711
energy_freq_bands_gamma_CP6,0.001049841003797618
energy_freq_bands_alpha_FC1,0.0010423463100871224
energy_freq_bands_alpha_CP1,0.0010317397259685032
spect_corr_P8_C4,0.001010987934911818
max_cross_corr_F7_FC5,0.0010022482861983505
pow_freq_bands_theta_P8,0.0010005437466566332
variance_C3,0.000995448122079234
pow_freq_bands_theta_FC2,0.0009654686198387496
energy_freq_bands_delta_CP6,0.0009633607803866231
spect_corr_CP1_FC2,0.000952253433921363
time_corr_Fp1_CP5,0.0009489178577894137
spect_corr_O1_C4,0.0009333249114835313
time_corr_O2_F8,0.0009297425823449352
energy_freq_bands_theta_Fz,0.0009265009016201872
